Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,return,ma_5,ma_20,volatility,target
2024-08-21 00:00:00-04:00,222.6699981689453,224.66000366210935,218.8600006103516,223.2700042724609,70146000,0.0,0.0,0.009814554993405888,219.47000122070312,212.27700119018556,0.02714848154674885,0
2024-08-22 00:00:00-04:00,223.82000732421875,224.8000030517578,210.32000732421875,210.66000366210935,79514500,0.0,0.0,-0.056478704568676985,218.7740020751953,211.79750137329103,0.03285238025008851,1
2024-08-23 00:00:00-04:00,214.4600067138672,221.47999572753903,214.2100067138672,220.32000732421875,81525200,0.0,0.0,0.0458558981020607,219.61400451660157,211.82350158691406,0.03960298648425044,0
2024-08-26 00:00:00-04:00,218.75,219.08999633789065,211.00999450683597,213.2100067138672,59301200,0.0,0.0,-0.0322712435275504,217.71200561523438,210.87900161743164,0.039235178014718354,0
2024-08-27 00:00:00-04:00,213.25,215.66000366210935,206.94000244140625,209.2100067138672,62821400,0.0,0.0,-0.018760845523390857,215.3340057373047,210.20850219726563,0.039512185628790684,0
2024-08-28 00:00:00-04:00,209.72000122070312,211.83999633789065,202.58999633789065,205.75,64116400,0.0,0.0,-0.01653843794670573,211.8300048828125,208.8925018310547,0.037870471327063664,1
2024-08-29 00:00:00-04:00,209.8000030517578,214.88999938964844,205.97000122070312,206.27999877929688,62308800,0.0,0.0,0.002575935743848623,210.95400390625,208.36350173950194,0.030426400271293053,1
2024-08-30 00:00:00-04:00,208.6300048828125,214.57000732421875,207.02999877929688,214.1100006103516,63370600,0.0,0.0,0.03795812428442069,209.71200256347657,208.68550186157228,0.02724051646075541,0
2024-09-03 00:00:00-04:00,215.25999450683597,219.8999938964844,209.63999938964844,210.6000061035156,76714200,0.0,0.0,-0.01639341692041585,209.19000244140625,209.27150192260743,0.02406649624476594,1
2024-09-04 00:00:00-04:00,210.58999633789065,222.22000122070312,210.57000732421875,219.41000366210935,80651800,0.0,0.0,0.04183284569452206,211.2300018310547,210.21000213623046,0.028508511099638006,1
2024-09-05 00:00:00-04:00,223.4900054931641,235.0,222.25,230.1699981689453,119355000,0.0,0.0,0.04904058305110981,216.11400146484374,212.13050231933593,0.028396818406756813,0
2024-09-06 00:00:00-04:00,232.6000061035156,233.6000061035156,210.50999450683597,210.72999572753903,112177000,0.0,0.0,-0.08445932396079381,217.00400085449218,212.72500228881836,0.056659826377414145,1
2024-09-09 00:00:00-04:00,216.1999969482422,219.8699951171875,213.6699981689453,216.2700042724609,67443500,0.0,0.0,0.026289605928169646,217.43600158691407,213.53850250244142,0.05521554475479189,1
2024-09-10 00:00:00-04:00,220.07000732421875,226.3999938964844,218.63999938964844,226.1699981689453,78891100,0.0,0.0,0.04577608406578748,220.55,214.97250213623047,0.05666374675081268,1
2024-09-11 00:00:00-04:00,224.5500030517578,228.47000122070312,216.8000030517578,228.1300048828125,83548600,0.0,0.0,0.008666077418469476,222.29400024414062,215.98750228881835,0.05474805080050536,1
2024-09-12 00:00:00-04:00,224.66000366210935,231.4499969482422,223.8300018310547,229.80999755859372,71894900,0.0,0.0,0.007364189890953776,222.2220001220703,217.40900192260742,0.050116508822767324,1
2024-09-13 00:00:00-04:00,228.0,232.6699981689453,226.32000732421875,230.2899932861328,59515100,0.0,0.0,0.0020886633855723424,226.13399963378907,218.21650161743165,0.01798356747009332,0
2024-09-16 00:00:00-04:00,229.3000030517578,229.9600067138672,223.52999877929688,226.77999877929688,54323000,0.0,0.0,-0.015241628421408637,228.23599853515626,218.7495018005371,0.022293616878984696,1
2024-09-17 00:00:00-04:00,229.4499969482422,234.57000732421875,226.5500030517578,227.8699951171875,66761600,0.0,0.0,0.004806404196833203,228.57599792480468,219.00700149536132,0.009712049146885393,0
2024-09-18 00:00:00-04:00,230.08999633789065,235.67999267578125,226.8800048828125,227.1999969482422,78010200,0.0,0.0,-0.0029402649901351108,228.38999633789064,219.31200103759767,0.008938264784053239,1
2024-09-19 00:00:00-04:00,234.0,244.2400054931641,232.1300048828125,243.9199981689453,102694600,0.0,0.0,0.07359155565707187,231.21199645996094,220.34450073242186,0.03502769484076711,0
2024-09-20 00:00:00-04:00,241.5200042724609,243.9900054931641,235.9199981689453,238.25,99879100,0.0,0.0,-0.02324531900421767,232.8039978027344,221.7240005493164,0.038557582272688545,1
