Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-07-25 00:00:00-04:00,422.1653487650477,423.14987619224735,411.05005574464656,411.92626953125,29943800,0.0,0.0
2024-07-26 00:00:00-04:00,411.7293557750341,422.28349032231534,410.8137224917234,418.68994140625,23583800,0.0,0.0
2024-07-29 00:00:00-04:00,424.90231413559286,425.46350195400487,418.1287909882396,420.12738037109375,15125800,0.0,0.0
2024-07-30 00:00:00-04:00,421.1020622928212,422.4114705197089,410.90234276735913,416.3763427734375,32687600,0.0,0.0
2024-07-31 00:00:00-04:00,413.9937419087569,415.2539356882569,405.83200193737093,411.87701416015625,42891400,0.0,0.0
2024-08-01 00:00:00-04:00,414.27933402476685,420.84611560670436,406.69846027697463,410.65625,30296400,0.0,0.0
2024-08-02 00:00:00-04:00,406.1077265801338,408.57890014493404,398.0838337068482,402.16961669921875,29437900,0.0,0.0
2024-08-05 00:00:00-04:00,383.1485558976655,394.83489176821496,379.6140759587015,389.0360107421875,40709200,0.0,0.0
2024-08-06 00:00:00-04:00,393.81095153508136,399.39323499306323,392.3341604668248,393.4269714355469,24946500,0.0,0.0
2024-08-07 00:00:00-04:00,402.3173368345742,403.73502880977026,391.32015130804484,392.2652893066406,20650900,0.0,0.0
2024-08-08 00:00:00-04:00,396.2131882314223,399.58025493530266,393.75186986205176,396.4593200683594,20203000,0.0,0.0
2024-08-09 00:00:00-04:00,397.7786234799922,401.736413003281,396.0360207139592,399.7378234863281,19276700,0.0,0.0
2024-08-12 00:00:00-04:00,400.7616957993417,402.4354042920839,397.98532149531104,400.51556396484375,16762900,0.0,0.0
2024-08-13 00:00:00-04:00,403.2525929980432,408.52967573215994,403.23291326546496,407.6042175292969,19414300,0.0,0.0
2024-08-14 00:00:00-04:00,408.3819407203729,411.25677385836923,406.0683254390975,410.4100646972656,18267000,0.0,0.0
2024-08-15 00:00:00-04:00,414.0495331175792,415.34158622213624,411.9388626649199,415.2626953125,20752100,0.75,0.0
2024-08-16 00:00:00-04:00,414.83859034033384,415.5684441235936,411.5837759699612,412.7377624511719,22775600,0.0,0.0
2024-08-19 00:00:00-04:00,413.22105614207504,415.9728470077707,410.75530126947416,415.755859375,15234000,0.0,0.0
2024-08-20 00:00:00-04:00,415.92356696995296,420.0265568174448,415.8643912576991,418.9810791015625,16387600,0.0,0.0
2024-08-21 00:00:00-04:00,418.27090283610073,420.55913050260955,415.943244764668,418.3301086425781,16067300,0.0,0.0
2024-08-22 00:00:00-04:00,418.5470440541718,420.94378045645306,408.9306008917766,409.85772705078125,19361900,0.0,0.0
2024-08-23 00:00:00-04:00,411.2681797994915,413.51694694228206,406.4451490290269,411.0807800292969,18493800,0.0,0.0
2024-08-26 00:00:00-04:00,410.6665432369522,411.56408163461276,405.7054455704439,407.82598876953125,13152800,0.0,0.0
2024-08-27 00:00:00-04:00,407.2046168469379,408.68406980179446,404.6303831532702,408.17120361328125,13492900,0.0,0.0
2024-08-28 00:00:00-04:00,409.19701874304764,409.3153701787374,401.73070464625647,404.97564697265625,14882700,0.0,0.0
2024-08-29 00:00:00-04:00,409.2561670075729,416.26875999773983,404.97561980648004,407.4610900878906,17045200,0.0,0.0
2024-08-30 00:00:00-04:00,409.90714230736785,411.7712375496905,406.48467295392123,411.4260559082031,24308300,0.0,0.0
2024-09-03 00:00:00-04:00,412.18542969380115,414.1284456363182,401.45446023053216,403.8314514160156,20313600,0.0,0.0
2024-09-04 00:00:00-04:00,400.3498254636215,405.6068015782242,398.830912042889,403.2988586425781,15135800,0.0,0.0
2024-09-05 00:00:00-04:00,402.0363656944642,407.44131080829675,400.56678553175374,402.79583740234375,14195500,0.0,0.0
2024-09-06 00:00:00-04:00,403.4566466739337,405.02486305915306,395.3097834719027,396.1974792480469,19609500,0.0,0.0
2024-09-09 00:00:00-04:00,401.66155199530795,403.0522412027111,396.641279237834,400.1623840332031,15295100,0.0,0.0
2024-09-10 00:00:00-04:00,402.6084339185776,410.62704280907684,402.1152829853601,408.5262451171875,19594300,0.0,0.0
2024-09-11 00:00:00-04:00,409.80842324527,418.1821164133012,403.9695029843538,417.2451477050781,19266900,0.0,0.0
2024-09-12 00:00:00-04:00,417.51148327493246,421.51586685329676,414.00025068010603,421.15093994140625,17395700,0.0,0.0
2024-09-13 00:00:00-04:00,419.9969653323754,425.9147773030141,419.63203841011375,424.6917724609375,15874600,0.0,0.0
2024-09-16 00:00:00-04:00,424.7016342113202,427.5914917589124,422.3542307072933,425.4314880371094,13834700,0.0,0.0
2024-09-17 00:00:00-04:00,434.1997314507894,435.79753584231287,426.34874601904636,429.1893005371094,18874200,0.0,0.0
2024-09-18 00:00:00-04:00,429.041298505566,430.05718819229855,424.5141766919007,424.90869140625,18898000,0.0,0.0
2024-09-19 00:00:00-04:00,435.18597071101885,435.45226137137865,430.91526689777044,432.6807556152344,21706600,0.0,0.0
2024-09-20 00:00:00-04:00,431.23091793236443,433.22323693457605,428.27201223229315,429.3076171875,55167100,0.0,0.0
2024-09-23 00:00:00-04:00,428.33121902605126,430.48135010026584,424.4945200082598,427.57177734375,15128900,0.0,0.0
2024-09-24 00:00:00-04:00,427.0687217553129,427.4139334394583,420.2632446802758,423.29119873046875,17015800,0.0,0.0
2024-09-25 00:00:00-04:00,423.94212038705155,427.18706197372046,422.6994004960537,426.1908874511719,13396400,0.0,0.0
2024-09-26 00:00:00-04:00,429.1301061037402,429.3372210826113,423.251754987828,425.4018859863281,14492000,0.0,0.0
2024-09-27 00:00:00-04:00,425.60900874647825,425.9345052473445,421.61449786891575,422.1569519042969,14896100,0.0,0.0
